Date Time	Download Speed
2019-07-30 16:31:37	114.27	
2019-07-30 16:36:59	134.00	
2019-07-30 16:42:21	143.04	
2019-07-30 16:47:43	90.42	
2019-07-30 16:53:06	114.09	
2019-07-30 16:58:28	142.27	
2019-07-30 17:03:50	130.01	
2019-07-30 17:09:12	109.76	
2019-07-30 17:14:35	89.45	
2019-07-30 17:19:57	139.43	
2019-07-30 17:25:20	137.06	
2019-07-30 17:30:42	119.39	
2019-07-30 17:36:05	165.91	
2019-07-30 17:41:27	172.34	
2019-07-30 17:46:49	108.25	
2019-07-30 17:52:11	105.39	
2019-07-30 17:57:33	146.11	
2019-07-30 18:02:55	133.64	
2019-07-30 18:08:17	169.21	
2019-07-30 18:13:39	115.31	
2019-07-30 18:19:01	141.17	
2019-07-30 18:24:23	104.44	
2019-07-30 18:29:45	98.39	
2019-07-30 18:35:07	136.02	
2019-07-30 18:40:29	158.72	
2019-07-30 18:45:51	163.24	
2019-07-30 18:51:13	163.28	
2019-07-30 18:56:36	161.44	
2019-07-30 19:01:58	159.72	
2019-07-30 19:07:20	138.93	
2019-07-30 19:12:47	155.32	
2019-07-30 19:18:11	105.43	
2019-07-30 19:23:33	131.73	
2019-07-30 19:28:55	165.64	
2019-07-30 19:34:17	134.19	
2019-07-30 19:39:40	173.94	
2019-07-30 19:45:02	172.31	
2019-07-30 19:50:24	168.06	
2019-07-30 19:55:47	155.85	
2019-07-30 20:01:09	113.41	
2019-07-30 20:06:32	163.68	
2019-07-30 20:11:54	144.39	
2019-07-30 20:17:17	97.72	
2019-07-30 20:22:39	152.23	
2019-07-30 20:28:01	158.66	
2019-07-30 20:33:33	157.54	
2019-07-30 20:38:55	165.99	
2019-07-30 20:44:18	89.24	
2019-07-30 20:49:40	109.72	
2019-07-30 20:55:02	100.77	
2019-07-30 21:00:24	113.47	
2019-07-30 21:05:47	168.23	
2019-07-30 21:11:15	138.48	
2019-07-30 21:16:37	131.31	
2019-07-30 21:21:59	156.41	
2019-07-30 21:27:21	155.09	
2019-07-30 21:32:44	134.38	
2019-07-30 21:38:07	146.32	
2019-07-30 21:43:29	101.50	
2019-07-30 21:48:52	118.66	
2019-07-30 21:54:15	139.88	
2019-07-30 21:59:37	95.74	
2019-07-30 22:04:59	111.59	
2019-07-30 22:10:22	122.99	
2019-07-30 22:15:44	105.02	
2019-07-30 22:21:06	127.28	
2019-07-30 22:26:29	128.77	
2019-07-30 22:31:56	70.53	
2019-07-30 22:37:18	83.88	
2019-07-30 22:42:46	131.44	
2019-07-30 22:48:08	170.56	
2019-07-30 22:53:31	117.81	
2019-07-30 22:58:54	70.21	
